Node Count,Requested Duration,Actual Duration
2064,28800,28822
2023,43200,4
4096,43200,10812
1500,43200,33736
150,21600,6
150,21600,4
150,21600,4
150,21600,4
150,21600,2
150,21600,4
150,21600,3
150,21600,3
8000,43200,43202
8000,43200,43202
8000,43200,292
5920,43200,5397
992,43200,41819
208,43200,43202
961,43200,25
961,43200,24
512,28800,4
150,21600,3173
150,21600,1071
150,21600,700
150,21600,810
150,21600,899
150,21600,61
150,21600,1527
768,21600,9214
200,14400,13925
200,14400,5616
160,21600,21426
200,14400,10793
300,14400,13
100,14400,8462
18,7200,7223
18,7200,7210
18,7200,7206
18,7200,7206
18,7200,7215
18,7200,7210
18,7200,7223
18,7200,7229
18,7200,7215
18,7200,7201
18,7200,7217
105,21600,21618
8,7200,7223
8,7200,7228
8,7200,7231
30,7200,6543
10,1800,356
30,7200,6378
32,3600,7
32,3600,185
32,3600,2343
2,3600,7
2,3600,12
2,3600,6
2,3600,13
30,7200,6547
30,7200,6527
30,7200,6388
30,7200,6439
2,300,4
32,7200,7221
24,7200,599
30,7200,6630
256,9000,9012
384,14400,49
96,9000,5753
20,7200,7220
2,300,70
2,300,137
16,7200,145
4,7200,511
448,7200,16
3,7200,11
4,7200,496
16,7200,1120
3,7200,7111
192,600,11
192,600,46
30,7200,6348
3,7200,7203
3,7200,7203
192,600,12
96,9000,5786
16,7200,117
4,7200,140
2,7200,2459
16,7200,40
16,7200,1098
30,7200,6347
3,7200,7217
3,7200,6187
96,9000,5703
192,600,29
2,7200,3719
192,600,605
5760,9000,9018
1500,43200,667
1500,43200,11060
150,21600,2
150,21600,4
150,21600,4
150,21600,4
150,21600,5
150,21600,3
150,21600,3
150,21600,4
150,21600,3
150,21600,2
2304,9000,5997
2304,9000,6551
992,43200,42739
2136,43200,42855
2136,43200,42877
2136,43200,331
2304,9000,6437
2136,43200,6
2048,43200,27
208,43200,43213
192,43200,18946
1794,23400,23404
1024,43200,6018
150,21600,4619
150,21600,5265
150,21600,18725
150,21600,1667
150,21600,5779
150,21600,5982
150,21600,5468
150,21600,21620
150,21600,21522
150,21600,14291
150,21600,2034
150,21600,628
150,21600,1759
150,21600,11072
150,21600,1204
150,21600,565
150,21600,18668
150,21600,21620
150,21600,14536
150,21600,10716
150,21600,165
150,21600,17106
150,21600,17186
150,21600,21607
150,21600,21384
150,21600,16777
150,21600,7213
150,21600,2828
150,21600,7878
150,21600,12803
150,21600,15337
150,21600,390
150,21600,2383
150,21600,242
150,21600,15407
150,21600,7733
150,21600,4313
150,21600,21608
150,21600,32
150,21600,7877
150,21600,6310
150,21600,1615
150,21600,182
200,14400,14008
160,21600,21346
160,21600,21407
160,21600,21362
120,21600,21612
200,14400,1141
200,14400,11157
200,14400,14055
200,14400,13849
200,14400,13880
1536,10800,10800
320,43200,77
184,43200,42092
300,14400,2182
300,14400,3480
300,14400,13122
100,14400,9763
100,14400,14424
100,14400,13989
18,7200,982
18,7200,7204
18,7200,7201
18,7200,7223
32,7200,5496
32,7200,5455
32,7200,5361
32,7200,5430
32,7200,4667
32,7200,5131
32,7200,5557
32,7200,5491
32,7200,5403
32,7200,4874
32,7200,4669
32,7200,5153
32,7200,5091
32,7200,5530
32,7200,5452
32,7200,5395
32,7200,4789
32,7200,4676
32,7200,6846
32,7200,5484
32,7200,5394
32,7200,5419
32,7200,9
32,7200,5293
32,7200,6024
32,7200,5394
32,7200,4744
32,7200,4655
32,7200,4796
32,7200,5137
1920,7200,7219
18,7200,7217
2048,1500,1502
335,43200,3401
384,21600,12709
105,21600,12471
448,7200,7201
144,21600,21607
128,21600,21618
30,7200,6461
3,7200,1821
3,7200,7228
3,7200,7228
3,7200,7228
96,9000,977
2,7200,6286
96,9000,302
4,900,19
8,900,40
96,9000,5883
8,900,23
4,900,11
5,7200,277
2,7200,3075
30,7200,6798
18,7200,36
18,7200,61
18,7200,181
3,7200,7216
2,7200,6960
300,14400,682
96,9000,5767
3,7200,1620
30,7200,6766
18,7200,17
18,7200,25
18,7200,48
2,7200,1643
2,7200,1640
8,7200,6737
8,7200,6677
3,7200,7201
2,7200,2728
96,9000,5795
200,14400,555
200,14400,13900
200,14400,14421
200,14400,1983
300,14400,13347
300,14400,13647
2,7200,964
2,7200,7005
8,7200,6729
10,7200,6924
30,7200,6659
8,7200,6714
3,7200,7230
96,9000,5909
384,14400,14401
768,18000,18011
30,7200,6910
96,9000,6076
3,7200,7222
40,7200,2625
40,7200,3035
40,7200,2728
40,7200,2081
40,7200,3724
40,7200,3542
40,7200,3800
40,7200,2763
30,7200,6452
40,7200,1293
40,7200,3302
40,7200,1622
40,7200,3671
40,7200,3248
40,7200,4548
40,7200,4118
40,7200,2313
40,7200,4250
40,7200,2574
40,7200,2508
40,7200,4592
40,7200,4254
40,7200,4465
40,7200,3156
40,7200,3206
40,7200,4175
40,7200,3117
40,7200,3160
40,7200,2908
40,7200,4036
40,7200,4204
40,7200,4560
183,21600,62
183,21600,63
183,21600,64
183,21600,67
183,21600,54
183,21600,54
183,21600,117
183,21600,117
183,21600,59
183,21600,54
183,21600,60
183,21600,55
183,21600,60
183,21600,59
183,21600,56
183,21600,58
96,9000,5971
512,43200,3597
172,18000,13049
3,7200,7212
30,7200,6485
30,7200,6385
30,7200,6583
448,7200,7221
5,600,251
48,7200,1992
2,3600,15
2,3600,15
5,600,527
2,3600,16
2,3600,13
2,3600,15
2,3600,16
5,600,235
5,600,602
30,7200,6407
5,600,230
4,7200,1788
105,21600,21608
300,3600,193
3,7200,7221
2,3600,8
5,600,247
2,3600,6
2,3600,15
30,7200,6763
30,7200,6683
30,7200,6897
3,7200,7219
96,9000,9000
32,7200,7220
2,3600,14
2048,1500,1289
2,7200,7224
40,7200,642
60,6300,2683
60,6300,2641
2048,1500,1043
32,7200,231
